Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
17-Jan-15;2493;192;61;86;0;4363;19;15;821;2873;2052
18-Jan-15;2581;168;55;69;0;2660;15;17;510;2563;2053
19-Jan-15;2530;162;56;78;84;2679;20;12;219;2272;2053
20-Jan-15;2451;178;64;79;32;2590;26;12;359;2412;2053
21-Jan-15;2653;190;54;96;97;2719;31;9;490;2543;2053
22-Jan-15;2854;218;49;85;97;2703;37;12;504;2557;2053
23-Jan-15;2158;196;29;60;24;2174;43;17;561;2613;2052
24-Jan-15;3397;249;46;61;0;3261;25;21;508;2561;2053
25-Jan-15;2901;248;70;79;0;2601;15;20;784;2837;2053
26-Jan-15;2533;198;53;48;24;1706;24;12;586;2639;2053
27-Jan-15;2715;237;44;88;89;2660;22;11;330;2383;2053
28-Jan-15;3138;275;66;72;108;2518;27;18;521;2574;2053
29-Jan-15;3010;254;68;71;92;2234;23;18;549;2602;2053
30-Jan-15;2973;271;66;84;8;1817;27;18;528;2593;2065
31-Jan-15;2894;195;64;58;16;1870;30;24;634;2661;2027
1-Feb-15;2253;160;42;53;0;1846;23;19;780;2845;2065
2-Feb-15;2794;201;69;75;92;2096;20;16;421;2846;2425
3-Feb-15;2862;193;71;70;68;2488;27;19;301;2366;2065
4-Feb-15;2539;182;67;77;16;2305;29;17;649;2711;2062
5-Feb-15;2166;150;38;68;73;2056;21;7;722;2787;2065
6-Feb-15;2812;212;47;44;19;1313;28;7;831;2896;2065
7-Feb-15;3028;177;68;91;330;1885;43;8;800;2865;2065
8-Feb-15;3030;220;67;101;280;1768;39;6;1169;3234;2065
9-Feb-15;3159;127;58;79;388;378;9;9;805;2882;2077
10-Feb-15;2906;149;54;72;51;3712;14;9;846;2923;2077
11-Feb-15;3165;150;45;69;96;2888;19;9;1310;3387;2077
12-Feb-15;2826;60;59;59;16;1002;7;2;1085;3168;2083
13-Feb-15;2510;175;43;64;87;1724;12;6;1013;3078;2065
14-Feb-15;3149;305;52;56;16;1642;19;6;757;2822;2065
15-Feb-15;2949;229;42;69;97;1673;7;2;745;2810;2065
16-Feb-15;2700;228;39;57;16;1752;7;8;708;2773;2065
17-Feb-15;3251;204;72;144;259;2916;18;6;840;2905;2065
18-Feb-15;2398;195;38;71;169;1883;7;5;951;3016;2065
19-Feb-15;2842;212;51;84;180;2708;11;5;990;3053;2063
